word,sentiment
geen oplossing,-1
geen probleem,1
geen ruimte,-1
geen tijd,-1
geerodeerd,-1
geheel niet,1
geheim,-1
geinactiveerd,-1
geinfecteerden,-1
geinnoveerd,1
gek,-1
gelaten,-1
gelijk,0
gelukkig,1
gelukt,1
genant,-1
genieten,1
genoeg,1
genoegen,1
geplaagde,-1
geraffineerd,-1
geringschatten,-1
geruststellen,1
geschikt,1
geschil,-1
geschokt,-1
gestoord,-1
getreiterd,-1
gevaarlijk,-1
gevangene,-1
gevangenis,-1
gevecht,-1
gevoelig,-1
geweld,-1
geweldig,1
gewinnen,1
gewond,-1
giftig,-1
gigantisch,1
gijzeling,-1
gillen,-1
goed,1
goedgemaakt,1
goedkeuren,1
goedkoop,1
goodwill,1
graag,1
gratie,1
gratis,1
grieven,-1
groei afname,-1
groeien,1
groeifonds,1
groeikans,1
groeimarkt,1
groeimogelijkheden,1
groeiversnelling,1
groen licht,1
grof,-1
groot,1
grootheid,1
grootschalig,1
grotendeels,1
gunnen,1
gunstig,1
halveren,-1
handen aftrekken,-1
haperen,-1
hard,1
hausse,1
hecht,1
heerlijk,1
heffing,-1
heftig,-1
heilig,1
hekelen,-1
helaas,-1
helder,1
hele,1
helpen,1
herbeoordeling,-1
herbestemming,-1
herformulering,-1
herindelen,-1
herindienen,-1
heronderhandelen,-1
herplaatsing,-1
herroepen,-1
herstel,1
herstel blijft uit,-1
herstelplan,1
herstructureren,-1
herwinnen,1
het mes erin zetten,-1
hevig,-1
hinder,-1
hindernis,-1
hoffelijk,1
hoger beroep,-1
hoog,1
hoogconjunctuur,1
hoogtepunt,1
hoogterecord,1
hoogwaardig,1
hoopvol,1
houvast,1
huiverig,-1
hype,-1
ideaal,1
iets,-1
ijverig,1
illegaal,-1
illiquide,-1
illusie,-1
immoreel,-1
impasse,-1
imperfectie,-1
improductief,-1
impuls,1
in beroep gaan,-1
in de knel,-1
in de race,1
in de rij,1
in de verkoop,-1
in het geweer,1
in het nauw,-1
in mineur,-1
in trek bij,1
in zee gaan,1
inactief,-1
inadequaat,-1
inbeslagname,-1
inbreuk,-1
incasseren,-1
incident,-1
incompetentie,-1
inconsequent,-1
inconsistent,-1
indrukwekkend,1
ineffectiviteit,-1
inefficient,-1
infaam,-1
inferieur,-1
informatief,1
ingeven,-1
ingewikkeld,-1
ingrijpen,1
ingrijpend,-1
inhaalslag,1
inhalen,1
injectie,1
inkrimpen,-1
inleveren,-1
inmenging,-1
innovatie,1
inperking,-1
inschakelen,1
insolventie,-1
inspiratie,1
instabiliteit,-1
instemmen,1
instorten,-1
insubordinatie,-1
integriteit,1
interessant,1
interferentie,-1
intimidatie,-1
intrekken,-1
inventief,1
invloedrijk,1
inzakken,-1
inzichtelijk,1
irritatie,-1
jammer,-1
juichen,1
kampen,-1
kans,1
kansarmen,-1
kanten tegen,-1
kapot,-1
kappen,1
kat uit de boom kijken,-1
katastrofaal,-1
kelderen,-1
keren,1
ketenen,-1
keurig,1
kickback,-1
kisten,-1
klaar,1
klacht,-1
klagen,-1
klap,-1
klappen,-1
klasse,1
klein,-1
kleinering,-1
kleinzielig,-1
klemmen,-1
klikken,-1
knelpunt,-1
knotten,-1
koersexplosie,1
koersverlies,-1
koerswinst,1
koesteren,1
koploper,1
kort geding,-1
korten,-1
korting,1
kostbaar,1
kosteloos,1
kostenbesparing,1
kostenstijging,-1
koude,-1
krabbelen,1
krach,-1
kracht,-1
krachtig,1
krap,-1
krapte,-1
krimp,-1
kritiek,-1
kronkelig,-1
kunstmatig,-1
kwaad,-1
kwakkelen,-1
kwaliteit,1
kwetsbaarheid,-1
kwetsen,-1
kwijt,-1
laag,-1
laagconjunctuur,-1
laagterecord,-1
laat,-1
laatste,-1
lachen,1
lager,-1
lang,-1
langdurig,-1
langverwacht,1
langzaam,-1
last,-1
laster,-1
lastig,-1
leeg,-1
leegstand,-1
leidend,1
leiderschap,1
lekken,-1
lekker,1
letsel,-1
leuk,1
levendig,1
levenskracht,1
licht,1
lichtpunt,1
lichtzinnig,-1
liefdadig,1
liefde,1
liegen,-1
lijden,-1
liquidatie,-1
liquiditeitsproblemen,-1
lockdown,-1
loer,-1
lonken,1
loonstijging,1
loyaal,1
lucratief,1
luizen,-1
lukken,1
luxe,1
machtigen,1
mager,-1
makkelijk,1
malaise,-1
malversaties,-1
manipulatie,-1
marginaal,-1
matig,-1
matiging,1
maximaal,1
mazen,-1
meebetalen,-1
meer,1
meerdere,1
meerwaarde,1
meest,1
meevaller,1
meewerken,1
meineed,-1
meningsverschil,-1
merendeel,1
mijden,-1
mijlpaal,1
militair ingrijpen,-1
min,-1
minder,-1
mineur,-1
minimaal,-1
minimum,-1
minste,-1
mis,-1
misbruik,-1
miscalculatie,-1
misclassificatie,-1
miscommunicatie,-1
misdaad,-1
misdrijf,-1
misgaan,-1
mishandelen,-1
misinterpretatie,-1
miskenning,-1
misleiding,-1
mislopen,-1
mislukking,-1
mismanagement,-1
mismatch,-1
misnoegen,-1
misplaatst,-1
misschien niet,-1
missen,-1
misser,-1
misstand,-1
misstap,-1
misten,-1
misverstand,-1
misvormingen,-1
mitsen,-1
moeien,-1
moeilijk,-1
mogelijkheid,1
mollen,-1
monopolie,-1
monopoliseren,-1
monopolisten,-1
mooi,1
moratorium,-1
motivatie,1
nadeel,-1
nakomen,1
nalatig,-1
namaak,-1
nasleep,-1
nauw,-1
nauwelijks,-1
nauwkeurig,1
nauwlettend,1
nazorg,-1
nederlaag,-1
nee,-1
neer,-1
neergang,-1
neerslaan,-1
neerslag,-1
neerwaarts,-1
negatief,-1
negeren,-1
nekken,-1
nerveus,-1
netjes,-1
niet,1
niet minder,1
niet schuldig,1
niet strafbaar,1
niet tegen,1
niets,-1
nietsvermoedend,-1
niks,-1
nood,-1
noodgedwongen,-1
noodlijdend,-1
noodzakelijk,-1
nooit,-1
nullijn,-1
nutteloos,-1
nuttig,1
obsceniteit,-1
obstakel,-1
offensief,-1
offeren,-1
olieboycot,-1
omarmen,1
ombuigen,-1
omdraaien,-1
omheind,-1
omhoog,1
omkoping,-1
omlaag,-1
omleiding,-1
ommezwaai,1
omstreden,-1
omvallen,-1
omwenteling,-1
omzeilen,-1
omzetdaling,-1
omzetgroei,1
omzetverlies,-1
onaangekondigd,-1
onaangenaam,-1
onaantrekkelijk,-1
onaanvaardbaar,-1
onacceptabel,-1
onafgeleverd,-1
onafleverbaar,-1
onbedoeld,-1
onbegrepen,-1
onbegrijpelijk,-1
onbeheersbaar,-1
onbekend,-1
onbekwaam,-1
onbenut,-1
onbepaald,-1
onbeschikbaar,-1
onbestendig,-1
onbetaald,-1
onbetrouwbaar,-1
onbetwistbaar,-1
onbevoegd,-1
onbevredigend,-1
onbewoond,-1
onbewust,-1
onbillijk,-1
onbruikbaar,-1
oncontroleerbaar,-1
ondanks,1
ondenkbaar,-1
onderaan,-1
onderbenutting,-1
onderbetaald,-1
onderbezetting,-1
onderbieding,-1
onderbreking,-1
onderdruk,-1
ondergang,-1
ondergefinancierd,-1
ondergekapitaliseerd,-1
ondergemiddeld,-1
ondergewaardeerd,-1
ondermaats,-1
ondermijnen,-1
onderschatten,-1
onderscheiden,1
ondersteunen,1
onderuit,-1
onderwaardering,-1
onderwerpen,-1
onderwerping,-1
ondeugdelijk,-1
ondeugend,-1
onduidelijk,-1
oneens,-1
oneerlijk,-1
oneervol,-1
onenigheid,-1
onervaren,-1
onethisch,-1
onevenredig,-1
onevenwichtigheden,-1
onfatsoenlijk,-1
ongebruikelijk,-1
ongecontroleerd,-1
ongecorrigeerd,-1
ongedocumenteerd,-1
ongeevenaard,1
ongefundeerd,-1
ongegrond,-1
ongekwalificeerd,-1
ongeldig,-1
ongelijkheid,-1
ongelooflijk,-1
ongeluk,-1
ongelukkig,-1
ongemak,-1
ongemeld,-1
ongenoegen,-1
ongeoorloofd,-1
ongepast,-1
ongepland,-1
ongerechtvaardigd,-1
ongeschikt,-1
ongetwijfeld,-1
ongeval,-1
ongevoelig,-1
ongewenst,-1
ongewillig,-1
ongewis,-1
ongewoon,-1
ongunstig,-1
onhaalbaar,-1
onhandig,-1
onheilspellend,-1
onherstelbaar,-1
onhoudbaar,-1
oninbaar,-1
onjuist,-1
onleesbaar,-1
onmerkbaar,-1
onmisbaar,-1
onmogelijk,-1
onnauwkeurig,-1
onnodig,-1
onomkeerbaar,-1
onontdekt,-1
onontkoombaar,-1
onontvankelijk,-1
onopgelost,-1
onoplettendheid,-1
onoplosbaar,-1
onopzettelijk,-1
onordelijk,-1
onovertroffen,1
onpopulair,-1
onpraktisch,-1
onproductief,-1
onrealistisch,-1
onrechte,-1
onrechtmatig,-1
onredelijk,-1
onregelmatig,-1
onrendabel,-1
onrijp,-1
onrust,-1
ontbering,-1
ontbinden,-1
ontbreken,-1
ontdoen,-1
ontduiken,-1
onteerd,-1
onteigenen,-1
onterecht,-1
onteren,-1
ontevreden,-1
ontgelden,-1
onthullen,-1
ontijdig,-1
ontkennen,-1
ontkoppelen,-1
ontlastend,-1
ontlopen,-1
ontmanteling,-1
ontmoedigen,-1
ontnemen,-1
ontoegankelijk,-1
ontoelaatbaar,-1
ontoereikend,-1
ontrouw,-1
ontslag,-1
ontsporen,-1
onttrekken,-1
ontvangen,1
ontwaarding,-1
ontwijken,-1
ontwikkeling,0
ontwrichten,-1
ontzetten,-1
ontzien,-1
onuitvoerbaar,-1
onveilig,-1
onveranderd,0
onverantwoord,-1
onverenigbaar,-1
onverkocht,-1
onverkoopbaar,-1
onverkrijgbaar,-1
onvermijdelijk,-1
onverminderd,-1
onvermogen,-1
onverstandig,-1
onvervuld,-1
onverwacht,-1
onverzekerd,-1
onverzoenbaar,-1
onvoldoende,-1
onvolledig,-1
onvoltooid,-1
onvoorspelbaar,-1
onvoorzien,-1
onvrede,-1
onvriendelijk,-1
onvrijwillig,-1
onvruchtbaar,-1
onwaarschijnlijk,-1
onwettigheid,-1
onwillekeurig,-1
onwillig,-1
onzeker,-1
onzelfzuchtig,-1
onzin,-1
onzorgvuldig,-1
onzuiver,-1
oorlog,-1
op de helling,-1
op de schop,-1
op de vingers tikken,-1
opblazen,-1
opbouwen,1
opdraaien,-1
opdringerig,-1
opdrogen,-1
openbreken,-1
openheid,1
opgaand,1
opgestapt,-1
opgetogen,1
opgeven,-1
opgewekt,1
opgewonden,1
ophanging,-1
opheffen,-1
opheldering,1
ophouden,-1
opjagen,-1
opleving,1
oplichting,-1
oplopen,1
oplossing,1
opluchting,1
opmars,1
opoffering,-1
oppassen,-1
opportunistisch,-1
opruimen,1
opschorten,-1
opslokken,-1
opsluiting,-1
opspraak,-1
opstand,-1
opstappen,-1
opsteker,1
opstuwen,-1
optimaal,1
optimaliseren,1
optimisme,1
opveren,1
opwaardering,1
opwaarts,1
opwekken,1
orkaan,-1
ouderwets,-1
overaanbod,-1
overbelading,-1
overbelasting,-1
overcapaciteit,-1
overdrijven,-1
overeenkomen,1
overeenstemming,1
overgewaardeerd,-1
overheersen,-1
overhoop,-1
overlast,-1
overleven,1
overlijden,-1
overnamestrijd,-1
overproductie,-1
overschaduwen,-1
overschatten,-1
overschot,1
overschrijding,-1
overslaan,-1
overstroming,-1
overtekend,-1
overtollig,-1
overtreden,-1
overtreffen,1
overturnen,-1
overvallen,-1
oververhitting,-1
overvloedig,1
overwaardering,-1
overwegen,-1
overwinnen,1
overwinning,1
pandemie,-1
paniek,-1
parten,-1
passief,-1
patstelling,-1
penaliseren,-1
perfect,1
perfectioneren,1
pervasief,-1
pessimisme,-1
pesten,-1
piek,1
pijnlijk,-1
plagen,-1
pleiten,-1
plezier,1
plooien,1
plotseling,-1
plus,1
populariteit,1
populistisch,-1
pose,-1
positief,1
prachtig,1
preferentie,1
prematuur,-1
premiere,1
presteren,1
prestigieus,1
prettig,1
preventie,1
prijsstabiliteit,1
prima,1
principeakkoord,1
prioriteit,1
proactief,1
proberen,1
probleem,-1
procederen,-1
procespartij,-1
procesvoering,-1
profiteren,1
promoten,1
pronken,1
protectionisme,-1
protest,-1
provoceren,-1
puinhoop,-1
radicaal,-1
raffineren,-1
ramp,-1
rampspoed,-1
ratificatie,1
rationalisatie,-1
rationaliseren,-1
realistisch,1
recessie,-1
rechtvaardigen,1
record,1
redden,1
redelijk,1
redigeren,-1
reduceren,-1
reeel,1
regelmatig,1
rekening,-1
relativeren,1
relevant,1
reorganisatie,-1
reparatie,-1
represaillemaatregelen,-1
respect,1
retributie,-1
revolutionair,1
ridiculiseren,-1
ridicuul,-1
rijk,1
rijkelijk,1
risico,-1
riskant,-1
rivaal,-1
robuust,1
rode cijfers,-1
roekeloos,-1
rommelen,-1
rompslomp,-1
roofzuchtig,-1
rooskleurig,1
ruim,-1
rusten,1
ruw,-1
ruzie,-1
sabotage,-1
samenspannen,-1
samenwerking,1
samenzweerder,-1
samenzwering,-1
sanctie,-1
saneren,-1
sars,-1
sceptisch,-1
schaarste,-1
schade,-1
schadeclaim,-1
schadelijk,-1
schaden,-1
schadevergoeding,-1
schaduw,-1
schandaal,-1
scheiden,-1
schenden,-1
scherpe kritiek,-1
schok,-1
schoon,1
schorsing,-1
schrap zetten,-1
schrappen,-1
schrikken,-1
schuld,-1
schuldeiser,-1
schuldig,-1
scoren,1
selectief,-1
simpel,1
slaan,-1
slachtoffer,-1
slagen,1
slecht,-1
slepen,-1
slijpen,-1
slim,1
slinken,-1
slopen,-1
slordig,-1
sluipen,-1
sluiten,-1
smadelijk,-1
smeergeld,-1
snel,1
sneuvelen,-1
soepel,1
solidariteit,1
solide,1
somber,-1
soms,0
spam,-1
spannen,-1
spanning,-1
speciaal,1
spectaculair,1
spijten,-1
spoedig,1
sprinten,1
staakt het vuren,1
stabiel,1
stabilisatie,-1
stagnatie,-1
staking,-1
steekpenningen,-1
steevast,1
steil,-1
stelen,-1
stellig,1
sterk,1
sterven,-1
steun,1
stevig,1
stijgen,1
stijging overschot,1
stijging tekort,-1
stilgelegd,-1
stilstand,-1
stimuleren,1
stokken,-1
stoppen,-1
stoptijd,-1
storen,-1
stormen,-1
straf,-1
strafbaar,-1
straffen,-1
strafrechtelijk,-1
strafzaak,-1
streep zetten door,-1
streng,-1
stress,-1
strijden,-1
strijdig,-1
stroomlijnen,1
stroomversnelling,1
strop,-1
struikelblok,-1
stuk,-1
stuwen,1
substantieel,1
succes,1
super,1
superieur,1
surplus,1
surseance van betaling,-1
sympathie,1
synergie,1
taboe,-1
talent,1
